G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:01:30.066050 - 2025-06-29 20:33:21.423203 | Duration: 0:31:51 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:33:40.364045 - 2025-06-29 20:33:42.396828 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:34:44.091673 - 2025-06-29 20:34:46.121492 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC01 | IP: 192.168.1.9 | Downtime: 2025-06-29 20:40:17.930393 - 2025-06-29 20:40:19.956328 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC01 | IP: 192.168.1.9 | Downtime: 2025-06-29 20:40:24.006475 - 2025-06-29 20:40:26.017548 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:43:19.885483 - 2025-06-29 20:43:22.418200 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:43:28.986137 - 2025-06-29 20:43:31.327522 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:43:50.186062 - 2025-06-29 20:43:52.419857 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 20:53:29.971281 - 2025-06-29 20:53:32.216897 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:36:57.665683 - 2025-06-29 23:36:59.830273 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:37:09.869936 - 2025-06-29 23:37:12.018734 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:37:46.543612 - 2025-06-29 23:37:48.602219 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:38:04.893928 - 2025-06-29 23:38:19.291709 | Duration: 0:00:14 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:38:23.247443 - 2025-06-29 23:38:25.369449 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:38:29.375490 - 2025-06-29 23:38:31.660758 | Duration: 0:00:02 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:39:24.428700 - 2025-06-29 23:39:29.834059 | Duration: 0:00:05 | Date: 2025-06-29
G1 | MC02 | IP: 192.168.1.10 | Downtime: 2025-06-29 23:40:10.360010 - 2025-06-29 23:40:12.548054 | Duration: 0:00:02 | Date: 2025-06-29
